id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
42,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,54.00055277777778,59.00055277777778,49.0,54.00055277777778
34,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,55.28835962064251,55.28835962064251,50.93895660493827,55.28835962064251
43,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,56.00071885964912,61.03216540052962,50.0,56.00071885964912
36,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,57.00003651824366,57.00003651824366,55.0000268707483,57.00003651824366
47,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,58.00001853741497,68.00001853741497,56.0,58.00001853741497
39,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,58.000041063698205,58.000041063698205,54.06349947257384,58.000041063698205
44,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,58.000885,62.93915660493827,51.0,58.000885
48,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,59.00002719298246,68.876570402859,57.0,59.00002719298246
37,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,59.00004560915275,59.00004560915275,55.876578736192336,59.00004560915275
49,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,60.000035000000004,69.93792319875777,58.0,60.000035000000004
38,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,60.000050154607294,60.000050154607294,56.9379315320911,60.000050154607294
50,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,61.00004285714286,69.93859034317637,59.0,61.00004285714286
41,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,61.00005470006184,61.00005470006184,58.93861534317638,61.00005470006184
40,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,62.00005924551638,62.00005924551638,56.96932819028797,62.00005924551638
53,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,63.000058333333335,71.98882237827715,62.0,63.000058333333335
