id,type,src,dst,app,latency,message,ctime,size,buffer
46,LINK,11,7,SimpleCase,1.0000052631578948,M.B,76.34256024382988,500,9
37,LINK,2,1,SimpleCase,1.0000045454545454,M.B,76.7247879310345,500,9
65,LINK,0,2,SimpleCase,1.0000083333333334,M.A,77,1000,10
64,LINK,2,7,SimpleCase,2.000166666666667,M.A,77.00007499999994,1000,10
52,LINK,7,12,SimpleCase,4.000055555555556,M.A,77.00540000000001,1000,10
43,LINK,7,2,SimpleCase,2.0000833333333334,M.B,77.06919885057471,500,11
46,LINK,7,2,SimpleCase,2.0000833333333334,M.B,77.34256550698777,500,11
66,LINK,0,2,SimpleCase,1.0000083333333334,M.A,78,1000,11
65,LINK,2,7,SimpleCase,2.000166666666667,M.A,78.00008333333327,1000,11
67,LINK,0,2,SimpleCase,1.0000083333333334,M.A,79,1000,12
66,LINK,2,7,SimpleCase,2.000166666666667,M.A,79.00009166666659,1000,12
53,LINK,7,12,SimpleCase,4.000055555555556,M.A,79.00556666666668,1000,12
45,LINK,8,7,SimpleCase,1.000005,M.B,79.03533473118277,500,13
49,LINK,12,7,SimpleCase,4.0000277777777775,M.B,79.0590096096096,500,14
43,LINK,2,1,SimpleCase,1.0000045454545454,M.B,79.06928218390804,500,14
68,LINK,0,2,SimpleCase,1.0000083333333334,M.A,80,1000,15
67,LINK,2,7,SimpleCase,2.000166666666667,M.A,80.00009999999992,1000,15
48,LINK,9,7,SimpleCase,1.0000055555555556,M.B,80.00474444444443,500,16
45,LINK,7,2,SimpleCase,2.0000833333333334,M.B,80.03533973118277,500,16
69,LINK,0,2,SimpleCase,1.0000083333333334,M.A,81,1000,16
68,LINK,2,7,SimpleCase,2.000166666666667,M.A,81.00010833333324,1000,16
48,LINK,7,2,SimpleCase,2.0000833333333334,M.B,81.00474999999999,500,16
54,LINK,7,8,SimpleCase,1.00001,M.A,81.00573333333335,1000,15
46,LINK,2,1,SimpleCase,1.0000045454545454,M.B,81.06936551724138,500,15
47,LINK,10,7,SimpleCase,1.0000045454545454,M.B,81.51143914555388,500,16
70,LINK,0,2,SimpleCase,1.0000083333333334,M.A,82,1000,17
69,LINK,2,7,SimpleCase,2.000166666666667,M.A,82.00011666666657,1000,17
47,LINK,7,2,SimpleCase,2.0000833333333334,M.B,82.51144369100842,500,15
71,LINK,0,2,SimpleCase,1.0000083333333334,M.A,83,1000,16
70,LINK,2,7,SimpleCase,2.000166666666667,M.A,83.0001249999999,1000,16
60,LINK,7,10,SimpleCase,1.0000090909090908,M.A,83.00590000000003,1000,16
49,LINK,7,2,SimpleCase,2.0000833333333334,M.B,83.05903738738738,500,16
45,LINK,2,1,SimpleCase,1.0000045454545454,M.B,83.06944885057472,500,16
40,LINK,4,2,SimpleCase,1.000005,M.B,83.68855959016393,500,17
72,LINK,0,2,SimpleCase,1.0000083333333334,M.A,84,1000,18
71,LINK,2,7,SimpleCase,2.000166666666667,M.A,84.00013333333322,1000,18
41,LINK,3,2,SimpleCase,1.0000052631578948,M.B,84.41937369835881,500,17
40,LINK,2,1,SimpleCase,1.0000045454545454,M.B,84.68856459016394,500,17
39,LINK,2,1,SimpleCase,1.0000045454545454,M.B,84.7586290229885,500,18
72,LINK,2,4,SimpleCase,1.00001,M.A,85.00014166666655,1000,18
61,LINK,7,9,SimpleCase,1.0000111111111112,M.A,85.0060666666667,1000,17
52,LINK,12,7,SimpleCase,4.0000277777777775,M.B,85.05950960960962,500,18
48,LINK,2,1,SimpleCase,1.0000045454545454,M.B,85.06953218390805,500,18
42,LINK,5,2,SimpleCase,1.0000047619047618,M.B,85.35595839386602,500,19
41,LINK,2,1,SimpleCase,1.0000045454545454,M.B,85.4193789615167,500,19
42,LINK,2,1,SimpleCase,1.0000045454545454,M.B,86.35596315577078,500,16
50,LINK,11,7,SimpleCase,1.0000052631578948,M.B,86.5120517692536,500,17
73,LINK,0,2,SimpleCase,1.0000083333333334,M.A,87,1000,17
47,LINK,2,1,SimpleCase,1.0000045454545454,M.B,87.06961551724139,500,16
51,LINK,7,2,SimpleCase,2.0000833333333334,M.B,87.4140264367816,500,17
50,LINK,7,2,SimpleCase,2.0000833333333334,M.B,87.51205703241149,500,17
44,LINK,6,2,SimpleCase,1.0000051020408163,M.B,88.0000268707483,500,16
74,LINK,0,2,SimpleCase,1.0000083333333334,M.A,89,1000,16
44,LINK,2,1,SimpleCase,1.0000045454545454,M.B,89.00003197278912,500,16
63,LINK,7,8,SimpleCase,1.00001,M.A,89.00640000000004,1000,16
52,LINK,7,2,SimpleCase,2.0000833333333334,M.B,89.0595373873874,500,16
49,LINK,2,1,SimpleCase,1.0000045454545454,M.B,89.06969885057472,500,16
53,LINK,12,7,SimpleCase,4.0000277777777775,M.B,89.11356366366367,500,17
75,LINK,0,2,SimpleCase,1.0000083333333334,M.A,90,1000,17
74,LINK,2,3,SimpleCase,1.0000105263157895,M.A,90.00000833333333,1000,17
75,LINK,2,6,SimpleCase,1.0000102040816325,M.A,91.00001666666665,1000,15
64,LINK,7,10,SimpleCase,1.0000090909090908,M.A,91.00656666666671,1000,14
51,LINK,2,1,SimpleCase,1.0000045454545454,M.B,91.06978218390806,500,14
54,LINK,8,7,SimpleCase,1.000005,M.B,91.68316268817206,500,15
76,LINK,0,2,SimpleCase,1.0000083333333334,M.A,92,1000,15
54,LINK,7,2,SimpleCase,2.0000833333333334,M.B,92.68316768817206,500,13
77,LINK,0,2,SimpleCase,1.0000083333333334,M.A,93,1000,13
76,LINK,2,5,SimpleCase,1.000009523809524,M.A,93.00000833333333,1000,13
65,LINK,7,11,SimpleCase,1.0000105263157895,M.A,93.00673333333339,1000,13
50,LINK,2,1,SimpleCase,1.0000045454545454,M.B,93.0698655172414,500,13
53,LINK,7,2,SimpleCase,2.0000833333333334,M.B,93.11359144144144,500,13
60,LINK,10,7,SimpleCase,1.0000045454545454,M.B,93.84197466467961,500,13
78,LINK,0,2,SimpleCase,1.0000083333333334,M.A,94,1000,14
77,LINK,2,7,SimpleCase,2.000166666666667,M.A,94.00001666666665,1000,14
60,LINK,7,2,SimpleCase,2.0000833333333334,M.B,94.84197921013416,500,11
79,LINK,0,2,SimpleCase,1.0000083333333334,M.A,95,1000,12
78,LINK,2,7,SimpleCase,2.000166666666667,M.A,95.00002499999998,1000,12
52,LINK,2,1,SimpleCase,1.0000045454545454,M.B,95.06994885057473,500,11
80,LINK,0,2,SimpleCase,1.0000083333333334,M.A,96,1000,12
79,LINK,2,7,SimpleCase,2.000166666666667,M.A,96.0000333333333,1000,12
61,LINK,9,7,SimpleCase,1.0000055555555556,M.B,96.0060777777778,500,13
80,LINK,2,7,SimpleCase,2.000166666666667,M.A,97.00004166666663,1000,12
61,LINK,7,2,SimpleCase,2.0000833333333334,M.B,97.00608333333336,500,12
67,LINK,7,11,SimpleCase,1.0000105263157895,M.A,97.00706666666673,1000,12
54,LINK,2,1,SimpleCase,1.0000045454545454,M.B,97.07003218390807,500,12
62,LINK,7,2,SimpleCase,2.0000833333333334,M.B,97.75885402298849,500,13
68,LINK,7,8,SimpleCase,1.00001,M.A,99.0072333333334,1000,11
53,LINK,2,1,SimpleCase,1.0000045454545454,M.B,99.0701155172414,500,11
81,LINK,0,2,SimpleCase,1.0000083333333334,M.A,101,1000,10
69,LINK,7,9,SimpleCase,1.0000111111111112,M.A,101.00740000000008,1000,10
60,LINK,2,1,SimpleCase,1.0000045454545454,M.B,101.07019885057474,500,10
63,LINK,8,7,SimpleCase,1.000005,M.B,101.36058204301077,500,11
82,LINK,0,2,SimpleCase,1.0000083333333334,M.A,102,1000,12
81,LINK,2,7,SimpleCase,2.000166666666667,M.A,102.00000833333333,1000,12
63,LINK,7,2,SimpleCase,2.0000833333333334,M.B,102.36058704301077,500,10
83,LINK,0,2,SimpleCase,1.0000083333333334,M.A,103,1000,11
82,LINK,2,7,SimpleCase,2.000166666666667,M.A,103.00001666666665,1000,11
70,LINK,7,10,SimpleCase,1.0000090909090908,M.A,103.00756666666675,1000,11
61,LINK,2,1,SimpleCase,1.0000045454545454,M.B,103.07028218390808,500,11
57,LINK,4,2,SimpleCase,1.000005,M.B,103.36069073770491,500,12
64,LINK,10,7,SimpleCase,1.0000045454545454,M.B,103.67804023845011,500,13
56,LINK,3,2,SimpleCase,1.0000052631578948,M.B,103.77421240803623,500,14
84,LINK,0,2,SimpleCase,1.0000083333333334,M.A,104,1000,15
83,LINK,2,7,SimpleCase,2.000166666666667,M.A,104.00002499999998,1000,15
